"","subject","age.x","sex.x","Antisocial_Asses1","Antisocial_Asses2","Antisocial_Asses3","Antisocial_Asses4","Antisocial_Asses5","Antisocial_HowMany1","Antisocial_HowMany2","Antisocial_HowMany3","Antisocial_HowMany4","Antisocial_HowMany5","Antisocial_HowOften1","Antisocial_HowOften2","Antisocial_HowOften3","Antisocial_HowOften4","Antisocial_HowOften5","Antisocial_Recom1","Antisocial_Recom2","Antisocial_Recom3","Antisocial_Recom4","Antisocial_Recom5","IU1","IU10","IU11","IU12","IU2","IU3","IU4","IU5","IU6","IU7","IU8","IU9","PDS1","PDS2","PDS3","Pref1","Pref10","Pref11","Pref2","Pref3","Pref4","Pref5","Pref6","Pref7","Pref8","Pref9","Rebel_Asses1","Rebel_Asses2","Rebel_Asses3","Rebel_Asses4","Rebel_Asses5","Rebel_HowMany1","Rebel_HowMany2","Rebel_HowMany3","Rebel_HowMany4","Rebel_HowMany5","Rebel_HowOften1","Rebel_HowOften2","Rebel_HowOften3","Rebel_HowOften4","Rebel_HowOften5","Rebel_Recom1","Rebel_Recom2","Rebel_Recom3","Rebel_Recom4","Rebel_Recom5","Reckless_Asses1","Reckless_Asses2","Reckless_Asses3","Reckless_Asses4","Reckless_Asses5","Reckless_HowMany1","Reckless_HowMany2","Reckless_HowMany3","Reckless_HowMany4","Reckless_HowMany5","Reckless_HowOften1","Reckless_HowOften2","Reckless_HowOften3","Reckless_HowOften4","Reckless_HowOften5","Reckless_Recom1","Reckless_Recom2","Reckless_Recom3","Reckless_Recom4","Reckless_Recom5","SOEP","Thrill_Asses1","Thrill_Asses2","Thrill_Asses3","Thrill_Asses4","Thrill_Asses5","Thrill_Asses6","Thrill_Asses7","Thrill_HowMany1","Thrill_HowMany2","Thrill_HowMany3","Thrill_HowMany4","Thrill_HowMany5","Thrill_HowMany6","Thrill_HowMany7","Thrill_HowOften1","Thrill_HowOften2","Thrill_HowOften3","Thrill_HowOften4","Thrill_HowOften5","Thrill_HowOften6","Thrill_HowOften7","Thrill_Recom1","Thrill_Recom2","Thrill_Recom3","Thrill_Recom4","Thrill_Recom5","Thrill_Recom6","Thrill_Recom7","SumAntisocial","SumAntisocial_HowMany","SumAntisocial_HowOften","SumAntisocial_Recom","SumThrill","SumThrill_HowMany","SumThrill_HowOften","SumThrill_Recom","SumReckless","SumReckless_HowMany","SumReckless_HowOften","SumReckless_Recom","SumRebel","SumRebel_HowMany","SumRebel_HowOften","SumRebel_Recom","SumIU","meanChangeTowardsRisky_Uncertain_0","meanChangeTowardsRisky_Uncertain_1","meanChangeTowardsSafe_Uncertain_0","meanChangeTowardsSafe_Uncertain_1","MinInEyesSum","numberFowards","numberBackwards","cftScore"
"118",118,"21","Weiblich",3,3,3,0,2,1,3,3,4,3,1,1,2,4,2,0,2,1,4,1,1,0,1,0,3,0,0,0,0,0,1,0,1,1,0,1,0,3,2,2,0,3,1,0,1,1,3,2,4,3,0,4,4,3,4,4,4,4,3,2,4,2,2,1,3,4,4,2,2,4,3,3,4,4,3,3,1,4,4,1,4,0,2,1,0,3,10,2,2,3,3,1,1,4,1,2,2,0,2,3,0,1,3,1,0,0,4,0,0,4,1,1,0,3,0,11,14,10,8,16,10,9,9,15,17,14,6,12,19,17,12,6,NA,NA,NA,NA,NA,8,11,12
"119",119,"21","Weiblich",2,4,3,1,3,2,0,1,2,1,2,0,0,2,0,1,0,0,2,0,2,1,1,1,2,1,1,1,1,3,2,0,3,3,0,2,3,2,2,1,3,3,0,0,0,0,3,3,3,4,2,3,0,2,2,3,2,0,2,1,3,2,0,1,1,3,2,1,2,3,1,1,2,2,0,3,0,2,2,0,0,1,2,1,0,2,6,3,3,3,2,2,1,1,0,0,0,1,0,3,2,0,0,0,0,0,2,0,3,2,3,4,4,4,2,13,6,4,3,15,6,2,22,9,8,4,6,15,10,8,7,16,NA,NA,NA,NA,NA,11,12,10
"120",120,"22","Maennlich",0,4,2,0,3,1,0,1,2,0,1,0,1,2,0,1,0,0,4,0,1,2,1,1,0,2,1,0,1,3,1,1,3,3,3,2,3,0,3,0,3,0,1,0,3,1,2,3,3,3,1,4,2,3,4,4,3,3,2,3,3,2,0,1,1,2,3,1,2,4,1,2,3,4,0,4,1,4,4,0,1,1,1,1,0,2,4,3,2,3,3,2,0,2,1,0,0,0,4,0,1,0,0,0,0,4,1,1,3,4,4,4,4,4,1,9,4,4,5,15,6,6,24,11,13,10,5,12,17,14,6,14,NA,NA,NA,NA,NA,12,14,9
"121",121,"23","Weiblich",3,3,3,0,3,2,0,0,4,0,3,0,0,3,0,1,1,0,3,0,0,0,0,0,2,1,0,0,0,0,1,0,3,3,0,3,0,0,2,2,0,3,1,2,1,2,3,3,3,3,1,4,2,4,4,4,3,1,3,4,3,2,0,2,1,3,4,2,4,3,2,0,NA,1,1,2,0,3,3,1,1,0,2,2,2,3,7,1,1,1,2,1,2,2,4,1,3,1,2,3,NA,3,0,2,2,0,3,1,4,4,4,3,4,3,0,12,6,6,5,10,NA,11,22,15,NA,8,9,13,18,14,8,4,-0.0833333333333333,0.166666666666667,0.0416666666666667,0,29,9,11,13
"122",122,"21","Weiblich",1,3,3,3,1,3,1,0,3,2,3,0,0,2,0,1,0,0,2,0,3,2,3,3,3,2,3,1,0,2,4,2,3,3,0,1,0,1,2,0,1,3,0,2,2,0,2,3,3,4,2,3,3,3,3,3,3,0,2,1,3,0,0,1,0,3,3,2,2,1,2,2,3,3,1,3,0,1,4,0,3,1,1,0,0,3,3,3,2,2,3,2,1,1,4,1,0,1,4,4,3,3,0,0,0,1,3,1,3,3,3,3,3,3,1,11,9,5,3,14,17,8,19,10,12,8,5,14,15,9,4,28,0.227272727272727,0.227272727272727,0.0714285714285714,-0.0714285714285714,24,9,9,14
"123",123,"21","Maennlich",0,4,1,0,3,2,0,0,2,1,4,0,0,4,0,2,0,0,4,0,1,1,0,1,3,3,0,1,1,2,1,0,3,3,3,1,0,1,3,0,3,2,1,3,3,1,1,3,1,3,1,4,1,1,3,3,3,1,3,3,4,1,0,0,1,3,0,2,1,4,1,0,4,1,1,4,2,1,2,1,2,1,1,1,0,2,8,2,2,1,0,1,0,0,1,0,0,1,2,3,2,0,0,0,0,2,3,0,2,2,3,2,4,3,1,8,5,8,6,6,9,5,17,8,10,8,5,9,12,14,5,14,-0.0357142857142857,-0.0357142857142857,0,0,26,12,10,14
"124",124,"22","Maennlich",1,3,4,0,3,3,1,0,2,2,4,0,0,4,1,3,1,0,4,2,0,2,2,2,2,0,1,0,1,2,2,3,3,3,3,1,0,3,2,0,3,0,0,0,2,0,4,4,4,4,0,4,3,4,4,4,0,0,0,0,2,0,0,0,0,1,1,1,2,3,1,2,4,3,2,4,2,3,2,2,4,3,2,1,1,1,6,1,1,1,1,2,1,3,3,1,1,1,3,3,2,1,0,1,0,2,4,0,4,3,3,3,4,1,2,11,8,9,10,10,14,8,20,8,15,13,8,16,19,2,1,17,0.208333333333333,0.166666666666667,0.25,0.25,26,11,11,13
"125",125,"22","Maennlich",0,4,3,1,4,2,1,2,2,1,3,1,2,2,3,3,0,0,3,0,0,0,1,0,2,0,1,0,0,1,1,0,3,2,3,3,0,3,3,0,1,1,0,2,0,1,2,4,3,3,2,3,3,3,3,3,2,0,3,1,4,2,0,1,2,4,3,2,4,4,2,1,2,1,1,4,0,3,1,2,3,0,1,0,0,2,7,3,4,2,3,2,0,1,2,1,0,0,2,3,1,1,0,0,1,4,2,1,3,2,2,4,3,2,0,12,8,11,6,15,9,9,16,15,9,9,3,14,15,10,9,6,0,0.166666666666667,0,0.0833333333333333,26,12,13,14
"126",126,"21","Weiblich",3,4,3,0,4,3,0,0,3,0,NA,0,0,2,NA,0,0,0,3,0,3,0,1,1,1,2,2,1,0,1,2,1,3,3,0,3,0,1,3,1,1,3,0,2,0,0,4,4,4,4,0,4,3,4,2,4,3,0,3,0,4,0,0,0,0,3,1,4,3,4,1,0,4,2,1,4,0,1,4,NA,4,0,0,0,0,1,3,1,2,1,4,1,1,3,3,0,1,0,1,4,2,0,0,0,NA,0,3,0,3,4,2,2,4,1,0,14,6,NA,3,13,11,NA,16,13,11,NA,1,16,17,10,3,15,0.0416666666666667,0.0416666666666667,0,0.25,30,9,12,13
"127",127,"25","Weiblich",2,4,3,2,3,2,0,0,2,0,1,0,0,2,0,1,0,0,2,0,2,2,2,2,3,2,2,2,2,2,2,2,3,3,0,1,0,1,2,2,0,3,0,2,2,0,2,3,2,4,3,3,2,1,0,3,1,0,0,0,1,1,0,0,0,1,3,2,3,3,2,0,4,1,0,4,0,3,1,0,1,0,1,0,0,3,6,2,2,2,2,1,1,2,0,0,0,0,2,4,1,0,0,0,0,1,2,1,2,2,2,1,2,4,1,14,4,3,3,12,7,4,14,13,9,5,4,14,9,2,2,25,NA,NA,NA,NA,NA,11,11,13
"128",128,"22","Maennlich",2,4,3,0,3,2,1,1,3,2,2,0,1,2,2,0,0,1,2,0,1,0,2,1,3,0,2,1,0,1,2,0,3,2,3,1,0,0,3,0,1,0,0,0,3,2,2,3,2,3,0,4,4,4,3,4,4,2,4,2,4,2,0,3,1,3,4,1,2,4,1,1,4,3,1,1,2,3,4,1,3,1,2,1,0,2,6,2,1,1,0,1,0,2,3,0,1,1,2,2,2,4,0,0,1,3,2,0,4,2,2,4,3,2,1,12,9,7,3,7,11,10,18,12,10,13,6,10,19,16,9,13,NA,NA,NA,NA,NA,12,12,13
"129",129,"25","Maennlich",1,3,2,0,2,2,0,0,2,1,1,0,0,2,1,1,0,0,2,0,1,0,1,0,1,0,0,3,0,1,3,1,3,3,3,1,0,0,3,2,1,2,1,2,1,2,1,2,3,4,1,3,2,2,1,2,2,0,1,0,2,2,0,0,1,2,1,1,2,3,0,1,3,3,2,2,1,3,4,0,1,1,1,1,0,2,8,2,1,2,2,1,0,0,3,0,0,0,1,3,1,0,0,0,0,1,3,0,3,1,1,1,3,3,0,8,5,4,3,8,8,4,12,7,11,9,5,11,10,5,5,11,NA,NA,NA,NA,NA,10,10,13
"130",130,"22","Maennlich",2,3,2,1,2,1,0,2,3,1,2,2,3,3,2,1,0,1,3,0,1,0,4,2,2,2,2,1,1,0,3,1,2,3,3,3,3,0,3,1,3,3,1,2,2,0,4,4,3,3,2,2,3,2,3,3,0,2,1,2,2,0,0,0,1,4,3,2,3,2,2,2,3,1,1,3,2,4,3,2,2,1,2,2,2,3,8,3,2,2,1,1,0,2,1,2,1,0,2,3,2,2,2,2,0,2,4,1,2,3,2,3,3,4,1,10,7,12,5,11,11,13,18,12,10,13,10,16,13,7,5,19,NA,NA,NA,NA,NA,8,10,8
"131",131,"22","Weiblich",0,4,4,0,4,3,0,0,4,0,3,0,0,3,0,2,0,0,4,0,4,3,1,4,4,4,4,4,4,4,4,3,3,3,0,1,0,0,2,2,3,2,0,2,2,0,4,1,4,4,2,2,1,2,0,3,0,1,0,0,2,0,1,0,0,2,4,0,4,4,0,0,2,0,0,4,0,2,0,0,4,0,2,0,0,4,1,3,3,4,0,0,0,0,4,1,3,1,2,4,2,2,1,1,2,2,4,2,3,1,1,2,4,4,1,12,7,6,6,10,17,14,16,12,6,6,6,15,8,3,3,43,NA,NA,NA,NA,NA,10,15,13
"132",132,"24","Weiblich",0,4,3,0,2,2,0,0,4,1,1,0,1,3,1,0,0,0,3,0,1,2,0,2,1,1,1,1,1,4,0,2,1,3,0,2,3,0,3,1,3,3,1,2,3,0,0,3,2,3,0,4,4,4,3,4,3,3,3,3,4,2,0,2,1,3,0,1,3,4,2,0,4,4,2,4,0,4,3,0,1,0,2,0,0,1,3,2,3,1,2,0,0,0,3,0,1,0,3,4,3,0,0,1,0,2,3,3,2,0,1,1,3,2,2,9,7,6,3,8,14,9,11,10,14,8,3,8,19,16,8,16,NA,NA,NA,NA,NA,9,11,10
"133",133,"23","Maennlich",1,4,1,0,2,2,1,1,3,1,1,1,1,3,1,1,2,1,2,1,2,4,3,1,3,3,3,4,0,2,3,2,3,3,3,3,2,3,1,1,1,1,1,0,1,0,3,3,2,3,2,2,1,2,2,2,0,0,0,4,4,0,0,0,1,2,2,0,1,3,2,0,3,1,1,3,1,4,0,0,0,1,2,2,0,3,7,2,1,2,1,1,0,2,1,2,0,0,1,1,1,0,1,0,0,0,2,1,2,4,2,3,1,4,2,8,8,7,7,9,6,4,18,8,8,5,8,13,9,8,3,30,-0.0357142857142857,0.107142857142857,0,0.125,24,15,13,14
"134",134,"22","Maennlich",0,4,3,1,2,1,0,1,1,0,1,0,0,2,0,1,0,0,1,0,1,1,1,1,2,1,3,1,1,2,2,0,3,3,3,3,0,3,3,0,3,0,0,0,2,0,3,3,2,4,1,3,2,3,0,3,3,1,2,0,3,2,0,2,0,2,3,1,2,2,1,2,2,3,1,2,2,2,2,1,4,1,2,1,1,3,4,3,1,1,1,1,0,1,2,0,0,0,3,3,1,3,0,0,0,4,4,1,4,1,1,2,4,3,2,10,3,3,2,8,9,12,17,9,10,11,8,13,11,9,6,16,0.166666666666667,0.208333333333333,0.0833333333333333,0.166666666666667,22,12,12,14
"135",135,"20","Weiblich",1,4,4,1,3,3,0,0,1,0,4,0,0,1,0,3,0,0,1,0,2,3,3,1,4,3,2,1,1,1,1,0,3,3,0,3,0,0,2,2,1,1,1,2,2,0,2,4,3,4,1,4,0,3,1,3,2,3,2,0,3,2,0,0,1,2,4,3,4,4,2,0,2,0,1,2,0,2,1,0,2,0,0,0,0,4,4,3,3,3,3,2,1,2,1,0,0,0,0,2,1,0,1,2,0,1,1,2,4,4,4,4,4,4,0,13,4,5,4,17,4,7,24,17,5,5,4,14,11,10,5,22,0.0555555555555556,0.0555555555555556,0,0,22,9,13,13
"136",136,"23","Weiblich",0,4,4,2,3,4,0,0,2,2,4,0,0,2,1,4,0,0,1,0,1,1,3,1,2,2,0,1,0,0,2,2,3,3,0,3,0,0,2,2,2,3,1,2,3,0,2,3,2,3,0,4,1,4,3,4,4,0,3,1,4,3,0,3,0,4,3,1,2,3,2,1,4,0,3,4,1,3,2,0,2,1,2,1,1,3,8,1,2,0,1,1,0,4,3,0,0,0,2,3,0,1,0,0,1,0,4,0,3,2,0,3,0,4,0,13,8,7,5,9,8,6,12,11,12,8,8,10,16,12,10,15,-0.0416666666666667,0.125,-0.0833333333333333,0,19,8,11,12
"137",137,"18","Weiblich",0,4,3,0,1,2,0,0,3,0,2,0,0,3,0,2,0,0,4,0,2,3,2,1,3,1,3,2,3,3,4,1,3,3,0,2,0,1,3,2,0,0,1,2,3,0,2,2,2,3,0,2,2,2,1,3,2,1,1,0,2,0,1,0,0,2,3,1,1,3,0,0,4,4,0,1,0,4,4,0,3,0,3,3,0,2,6,1,2,0,1,0,0,1,2,0,0,0,0,4,2,2,0,0,0,0,3,2,4,2,2,3,2,3,2,8,5,5,6,5,8,7,18,8,9,11,8,9,10,6,3,28,-0.0416666666666667,-0.208333333333333,0,0,18,10,13,15
"138",138,"21","Maennlich",0,4,4,0,3,3,0,1,2,1,4,0,0,2,0,3,0,0,1,0,2,1,2,2,3,3,1,1,1,3,2,0,3,3,3,1,0,1,3,0,3,1,0,3,0,2,2,4,3,4,2,3,2,3,1,3,3,0,3,0,3,3,0,3,2,3,3,1,2,4,1,1,4,3,2,3,1,2,4,1,4,1,1,1,1,3,7,3,3,4,3,1,0,3,2,0,2,1,3,2,1,3,0,2,0,4,2,0,3,3,3,1,4,4,0,11,7,6,4,17,11,11,18,11,13,12,7,15,12,9,11,21,0.272727272727273,0.227272727272727,0,0.0714285714285714,24,12,12,15
"139",139,"25","Weiblich",3,4,4,1,3,0,0,0,2,1,1,0,0,2,1,0,0,0,2,0,3,2,4,2,3,2,3,2,1,3,4,2,3,3,0,2,0,0,2,3,0,3,1,1,3,0,3,3,3,3,3,3,2,2,1,2,2,0,1,1,3,1,0,0,1,3,4,2,3,4,3,0,3,3,0,3,0,2,3,0,1,0,0,0,0,1,3,2,1,2,3,2,2,1,1,1,0,0,2,2,3,0,1,0,0,1,1,1,3,3,3,1,3,0,0,15,3,4,2,13,9,4,13,16,9,6,1,15,10,7,5,31,0.125,0.125,0.166666666666667,0.0833333333333333,24,10,12,12
"140",140,"23","Maennlich",3,4,2,1,3,2,0,0,2,0,3,0,0,1,0,0,0,0,3,0,1,1,3,0,1,2,3,1,1,3,2,0,3,3,3,1,2,0,2,0,3,2,3,2,3,2,2,3,4,4,0,3,2,2,2,4,2,0,1,1,3,2,0,1,0,2,3,2,2,4,2,0,4,3,1,3,1,2,4,0,1,1,0,0,0,2,5,2,3,2,2,1,0,3,0,1,0,0,2,3,2,1,0,0,0,2,2,0,4,3,2,3,2,3,0,13,4,4,3,13,8,5,17,13,11,8,3,13,13,7,5,18,0.0454545454545455,-0.0454545454545455,0,-0.142857142857143,26,11,15,14
"141",141,"24","Maennlich",2,3,4,0,3,2,0,1,4,0,3,0,0,2,0,2,0,0,4,0,1,1,1,1,2,2,1,1,2,2,0,1,3,3,2,1,3,0,3,0,0,3,1,0,0,1,3,4,3,3,1,4,2,4,4,4,3,4,3,3,3,1,0,2,2,3,4,1,2,3,0,1,4,3,1,2,0,4,4,0,1,0,2,1,0,1,8,2,1,2,2,0,0,2,3,1,1,1,3,3,3,3,0,1,0,2,2,2,4,2,2,2,4,1,2,12,7,5,6,9,15,10,17,10,11,9,4,14,18,16,8,15,0,0.0909090909090909,0.0714285714285714,0,26,12,14,14
"142",142,"21","Maennlich",0,4,4,0,4,3,0,0,3,0,3,0,0,2,0,3,0,0,3,0,1,2,1,1,2,2,2,1,2,2,3,1,3,1,2,1,0,3,1,0,2,2,1,1,2,1,1,3,2,3,1,4,1,2,2,2,2,0,2,1,3,3,0,2,2,4,4,1,2,3,1,0,4,4,1,4,0,NA,4,0,2,0,3,3,1,3,4,3,2,2,1,1,0,1,1,0,1,0,2,4,1,0,0,0,0,3,2,NA,3,1,2,3,3,3,1,12,6,5,6,10,9,NA,16,11,13,NA,10,10,11,8,11,20,-0.0357142857142857,0.0357142857142857,0,-0.125,27,10,12,15
"143",143,"24","Maennlich",1,4,4,0,3,2,0,1,4,1,2,0,0,3,1,0,0,0,3,0,1,1,0,1,2,1,1,1,1,2,1,1,3,3,3,3,2,0,3,0,3,0,1,0,0,0,1,4,1,2,0,4,3,4,3,4,3,3,3,2,3,4,0,2,2,4,2,1,1,4,1,3,4,4,1,4,0,3,4,1,3,0,0,0,0,3,3,1,2,1,1,1,0,1,3,0,1,0,4,4,2,1,0,0,0,3,2,1,3,2,2,2,4,3,0,12,8,6,3,7,14,7,16,9,16,11,3,8,18,14,12,13,0.0416666666666667,-0.0833333333333333,0.166666666666667,0.166666666666667,29,12,14,13
"144",144,"22","Maennlich",1,4,4,0,1,0,0,0,4,0,3,0,0,4,0,0,0,0,4,0,0,0,1,0,2,0,2,0,1,3,3,0,3,3,3,3,0,3,2,2,1,0,0,3,1,1,0,4,2,2,0,4,2,1,1,4,4,0,1,0,4,2,0,0,1,4,2,1,2,4,1,0,4,4,0,1,0,2,0,0,2,0,2,0,0,2,5,2,2,3,1,1,0,2,2,0,1,0,2,3,0,1,0,4,0,0,2,0,4,2,4,4,4,1,1,10,4,7,4,11,8,7,20,10,9,4,4,8,12,9,7,12,0.0833333333333333,0.0416666666666667,0,0,23,11,14,15
"145",145,"23","Maennlich",3,4,3,0,3,2,0,0,2,0,3,0,0,2,0,1,0,0,3,0,1,1,3,1,2,1,3,1,1,1,2,1,3,3,3,3,0,1,3,0,3,1,1,2,0,0,2,3,2,4,1,2,1,2,1,2,1,0,1,0,2,2,0,1,0,2,4,4,4,3,1,1,2,0,1,3,0,2,0,0,1,0,1,0,1,3,7,2,2,3,1,1,0,3,1,0,1,0,3,1,1,1,0,0,0,2,2,1,3,3,2,3,3,2,0,13,4,5,4,12,7,6,16,16,7,3,5,12,8,4,5,18,0.0833333333333333,0.125,0.0833333333333333,0.166666666666667,29,9,14,13
"146",146,"22","Weiblich",3,4,4,1,2,3,0,0,3,0,2,0,0,2,0,1,0,0,2,0,2,2,2,1,3,2,2,1,2,3,3,1,3,3,0,2,0,0,3,2,0,3,1,2,3,0,3,4,3,3,2,4,2,3,2,3,3,1,2,1,3,3,0,2,1,3,4,1,4,3,3,0,4,4,3,4,1,3,1,1,2,1,2,0,0,3,6,2,2,3,1,2,1,2,2,0,0,1,2,3,1,0,1,0,0,0,4,2,3,2,2,3,3,4,1,14,6,4,3,13,9,7,18,15,15,8,6,15,14,10,9,24,0.0416666666666667,-0.0416666666666667,-0.0833333333333333,0.0833333333333333,31,11,13,14
"147",147,"22","Maennlich",1,3,3,1,2,3,2,1,4,2,3,0,2,2,1,1,0,0,3,0,4,4,4,3,4,2,2,3,4,1,2,2,3,2,3,3,0,3,3,0,0,2,2,2,0,2,2,1,3,2,2,3,4,3,3,4,2,4,2,2,4,0,0,0,0,2,4,1,2,3,1,1,4,4,2,3,1,3,4,0,1,0,0,1,1,1,2,3,2,2,2,1,0,3,1,3,2,0,3,2,1,0,2,0,0,1,1,1,1,4,2,1,4,4,0,10,12,8,4,13,12,5,16,11,14,9,3,10,17,14,2,35,-0.0454545454545455,-0.0909090909090909,0.0714285714285714,0.142857142857143,23,10,11,15
"148",148,"22","Maennlich",1,3,3,0,1,2,0,2,3,2,1,0,0,2,0,0,1,0,1,1,3,1,3,1,3,1,2,0,1,2,0,1,3,2,2,2,0,1,2,0,0,1,0,2,1,0,1,3,3,3,1,3,3,3,2,3,3,0,1,0,3,1,0,0,1,3,1,3,2,2,1,2,2,3,2,4,0,1,2,0,2,1,1,0,0,2,2,1,1,2,1,1,0,2,0,1,0,0,3,2,2,0,0,0,0,2,2,0,3,2,1,1,4,3,1,8,9,3,3,8,8,4,15,9,13,5,4,11,14,7,5,18,0.208333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,25,16,18,15
"149",149,"25","Weiblich",0,4,0,2,2,4,1,3,2,1,4,1,4,0,0,2,0,0,2,0,0,2,4,2,4,2,1,4,2,0,4,2,3,3,0,1,0,0,3,0,3,1,1,2,3,0,1,4,1,2,2,4,4,4,4,4,3,2,3,2,4,2,0,1,0,3,2,4,1,4,4,0,4,4,3,4,0,4,4,4,3,0,0,2,1,2,7,4,4,4,4,1,2,0,0,1,4,0,4,4,3,0,0,1,0,4,0,1,2,4,3,1,4,2,0,8,11,9,4,19,16,6,16,15,15,15,5,10,20,14,6,27,0,0,-0.0384615384615385,-0.0769230769230769,24,8,7,8
"150",150,"23","Maennlich",1,4,4,0,3,1,0,1,4,0,1,0,0,4,0,1,0,0,4,0,1,0,1,0,2,0,3,0,0,0,1,1,3,3,3,3,3,0,2,0,1,0,1,2,2,0,2,3,3,4,1,3,3,1,1,4,2,0,1,0,3,2,0,0,0,3,2,1,4,3,1,0,3,2,1,2,2,2,0,0,3,1,1,0,1,2,7,2,1,1,1,1,0,2,3,1,0,0,4,3,1,3,0,0,0,4,4,0,4,2,2,3,4,3,0,12,6,5,5,8,12,11,18,11,8,7,5,13,12,6,5,9,0.0416666666666667,0.0833333333333333,0.0833333333333333,0,23,10,11,14
"151",151,"13","Maennlich",3,3,4,1,2,0,0,0,2,0,0,0,0,1,0,1,0,0,2,1,2,2,3,3,3,0,0,0,1,1,2,1,0,0,0,3,0,1,1,0,1,1,0,2,0,1,3,3,4,4,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,4,2,2,4,2,0,2,4,0,4,0,1,1,0,3,0,1,1,0,0,3,1,2,1,3,2,0,3,2,1,0,0,4,3,0,2,0,0,0,4,2,0,4,2,3,1,4,2,0,13,2,1,4,12,10,8,16,14,10,5,2,16,2,1,2,18,0,-0.0909090909090909,-0.0714285714285714,-0.0714285714285714,23,13,14,15
"152",152,"10","Maennlich",3,4,4,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,3,3,3,0,1,2,1,1,3,0,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,1,1,0,0,0,1,2,0,0,0,1,2,0,0,0,1,5,2,3,2,4,2,2,3,3,1,2,0,4,2,1,0,4,1,0,2,2,0,2,2,4,2,4,2,0,16,0,1,0,18,13,9,16,13,2,3,3,18,0,0,0,4,0.0833333333333333,0.0833333333333333,0.0416666666666667,0,10,9,8,10
"153",153,"10","Maennlich",1,4,1,3,2,0,2,2,4,1,1,3,1,4,1,0,1,0,0,0,2,0,0,1,1,0,0,3,0,1,4,0,1,0,0,3,2,3,1,3,0,0,0,0,3,1,0,2,1,4,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,4,1,2,0,2,1,3,1,0,1,1,0,0,0,0,0,0,4,2,0,1,4,1,1,0,0,1,0,0,1,4,1,0,1,0,0,0,4,0,1,1,0,4,0,4,1,11,9,10,1,9,7,5,11,11,8,3,0,9,4,1,0,12,-0.142857142857143,0.0714285714285714,-0.25,0.125,14,5,7,7
"154",154,"10","Maennlich",2,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,1,0,3,0,3,0,3,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,4,3,4,2,1,0,0,0,1,0,0,1,0,2,0,4,0,0,2,2,2,1,4,0,0,18,0,1,0,17,2,7,11,18,0,0,0,16,0,0,0,2,0.0357142857142857,0.0714285714285714,0,-0.375,17,8,9,12
"155",155,"10","Maennlich",2,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,1,0,1,1,0,0,0,0,3,1,0,2,0,1,0,3,3,1,0,2,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,1,1,1,4,0,1,3,0,4,1,0,0,0,3,0,4,2,0,4,4,4,4,4,0,0,14,0,0,0,12,9,9,20,12,0,0,2,15,0,0,0,9,0.178571428571429,0.178571428571429,0.125,-0.125,16,8,11,11
"156",156,"10","Maennlich",2,2,4,3,2,2,2,0,1,0,2,2,0,1,0,2,1,0,1,0,2,1,1,0,0,0,2,0,0,3,1,0,1,2,1,3,1,2,3,2,1,0,0,0,3,0,2,3,3,4,2,0,0,0,0,1,0,0,0,0,1,2,0,1,0,2,3,4,2,3,2,1,1,1,0,0,1,1,1,0,0,2,2,2,4,3,7,1,2,2,3,1,2,2,3,4,1,0,2,0,1,3,4,1,0,3,0,0,4,3,3,2,4,2,1,13,5,5,4,13,11,11,19,14,3,3,13,14,1,1,5,10,-0.25,-0.214285714285714,-0.375,-0.25,14,NA,NA,NA
"157",157,"10","Maennlich",1,3,3,1,2,2,4,0,1,0,1,4,0,1,0,0,0,0,0,0,2,0,1,2,1,1,0,4,1,1,3,1,0,0,0,3,0,0,1,0,1,0,3,3,2,0,2,4,3,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,4,3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,1,4,1,2,3,2,2,2,0,4,2,0,0,0,1,0,4,0,0,1,2,4,1,4,0,0,10,7,6,0,16,12,5,12,18,1,0,0,14,1,1,0,17,-0.125,-0.0833333333333333,-0.25,-0.0833333333333333,14,11,7,11
"158",158,"12","Maennlich",4,4,0,2,0,0,0,0,3,3,0,0,0,2,4,0,0,0,2,0,0,1,2,3,2,1,0,2,2,2,0,1,1,0,0,1,0,0,3,0,3,3,0,2,0,2,4,4,4,4,2,4,1,1,0,2,0,0,0,0,1,0,0,0,0,2,4,3,3,4,3,0,2,3,0,4,0,1,1,0,0,0,0,0,0,2,5,3,3,2,2,2,2,3,2,0,0,1,3,3,0,0,0,1,0,4,0,0,3,1,3,1,4,1,0,10,6,6,2,17,9,5,13,17,9,2,2,18,8,1,2,16,-0.0357142857142857,0.142857142857143,0,-0.25,14,7,8,11
